t,pwf,qg
964,659.99,588.95
965,640.85,590.35
966,641.53,606.01
967,629.21,612.29
968,616.8,599.45
969,616.71,583.05
970,641.44,587.17
971,632.6,582.08
972,635.2,573.08
973,634.95,587.09
974,635.21,576.4
975,634.97,589.47
976,635.24,582.24
977,653.41,574.04
978,653.73,570.45
979,653.1,573.39
980,653.82,591
981,635.33,601.12
982,629.1,589.35
983,622.88,581.81
984,622.93,590.72
985,641.42,581.86
986,641.42,582.33
987,645.77,570.1
988,647.67,596.52
989,627.93,587.68
990,629.09,587.8
991,616.67,574.77
992,622.8,563.19
993,659.07,589.7
994,604.35,579.18
995,622.65,595.95
996,622.9,585.48
997,653.45,581.45
998,653.84,595.71
999,610.39,610.53
1000,592.06,589.43
1001,610.26,586.45
1002,598.16,576.51
1003,604.45,598.81
1004,604.3,569.34
1005,622.17,561.97
1006,622.84,571.66
1007,622.9,586
1008,622.85,574.39
1009,604.01,571.83
1010,604.27,562.61
1011,613.47,573.44
1012,616.65,570.33
1013,598.14,573.06
1014,622.78,559.91
1015,632.38,556.01
1016,635.15,563.13
1017,634.55,569.29
1018,635.12,556.7
1019,622.46,560.37
1020,622.83,570.47
1021,609.06,569.65
1022,610.44,562.15
1023,610.12,561.89
1024,610.46,566.49
1025,609.84,563.77
1026,610.44,563.59
1027,621.83,555.22
1028,622.73,549.8
1029,634.44,549.5
1030,635.11,553.4
1031,615.91,547.26
1032,614.05,544.33
1033,610.34,541.43
1034,610.4,553.66
1035,620.45,546.16
1036,622.7,541.71
1037,639.67,540.2
1038,641.22,538.91
1039,634.09,542.16
1040,641.19,531.55
1041,646.68,530.2
1042,647.35,526.99
1043,640.49,526.93
1044,634.95,518.23
1045,640.51,530.79
1046,641.17,527.08
1047,633.17,531.54
1048,634.97,522.92
1049,640.48,525.87
1050,641.21,535.81
1051,634.33,529.69
1052,635,529.91
1053,633.68,524.6
1054,634.99,526.97
1055,641.05,499.15
1056,635.09,549.75
1057,632.17,531.65
1058,635.07,545.4
1059,621,516.24
1060,622.59,518.79
1061,639.62,533.33
1062,641.11,512.95
1063,646.1,486
1064,647.41,539.73
1065,633.9,511.29
1066,647.3,514.55
1067,647.39,536.72
1068,647.33,522.39
1069,645.4,518.32
1070,647.29,511.87
1071,640.84,530.37
1072,641.19,530.48
1073,640.22,535.46
1074,641.2,533.85
1075,641.18,529.93
1076,641.17,527.26
1077,647.3,515.11
1078,655.94,510.66
1079,644.98,500.57
1080,647.22,494.04
1081,677.42,501.38
1082,678.16,496.81
1083,658.9,505.2
1084,658.76,200.82
1085,739.13,543.21
1086,660.23,639.07
1087,672.09,600.65
1088,672.29,573.43
1089,664.65,543.41
1090,684.44,520.39
1091,689.6,531.03
1092,690.67,531.06
1093,671.39,530.14
1094,672.04,515.82
1095,683.7,519.46
1096,684.43,517.16
1097,684.43,517.35
1098,690.63,520.24
1099,658.71,530.67
1100,659.09,346.31
1102,672.13,536.76
1103,695.8,535.09
1104,696.84,527.38
1105,676.22,517.46
1106,678.39,553.64
1107,677.53,522.5
1108,678.26,521.86
1109,653.16,522.63
1110,653.51,520.22
1111,652.09,509.96
1112,678.2,508.23
1113,658.95,514.94
1114,659.63,506.21
1115,658.86,498.31
1116,659.59,496.01
1117,671.97,497.83
1118,665.8,500.19
